                                 p1            p2            p3            p4            p5            p6            p7            p8
                         0.436964      0.490494      0.599669      0.825701       1.30477       2.04976       3.11237       4.47868    
                          3.00865       1.21932       2.88901       3.76009       3.69877      -14.4849      -16.6465      -11.3446    
                         -5.67161      -2.79192      -1.25121     -0.475842       0.00000      0.156578      0.162795      0.190896    
                         0.262507      0.881289       1.53305       2.56480       5.99302       5.69133       1.33529       2.98461    
                          3.09158       1.50976      -7.06959      -11.6080      -9.06557      -5.31891      -2.92962      -1.50557    
                        -0.620876     -0.241201       0.00000      0.124146      0.144039      0.200696      0.337383       1.22435    
                          2.17824       5.42320       8.11885       1.40192       2.98367       2.81689       1.28706      -3.03928    
                         -6.09459      -5.50957      -3.78832      -2.23147      -1.11918     -0.551966     -0.182025       0.00000    
                         0.102108      0.122133      0.172522      0.289475       1.06333       2.93667       6.77539       7.93505    
                          1.41900       3.00689       2.75416       1.58670      -1.01041      -3.48054      -3.64364      -2.45730    
                         -1.37966     -0.672223     -0.332488     -0.134853     -7.245356E-02   0.00000      0.107703      0.157929    
                         0.268066      0.994828       2.80422       6.67442       10.7332       1.47433       3.07293       2.89805    
                          1.96039     -0.143656      -2.65694      -2.51496      -1.46824     -0.760095     -0.382791     -0.189646    
                        -9.921273E-02 -5.594401E-02   0.00000       0.00000      0.149313      0.259733      0.983356       2.84696    
                          8.64991       11.3491       1.48070       3.18236       3.21006       2.58783      0.608405      -2.53302    
                         -1.88029     -0.876695     -0.375237     -0.173487     -0.103365     -3.682717E-02   0.00000       0.00000    
                          0.00000      0.139416      0.258078       1.02326       3.05273       7.59983       12.6107       1.50058    
                          3.28261       3.68661       3.88616       2.29463      -3.43549      -1.69376     -0.556621     -0.204224    
                        -8.027643E-02 -2.657738E-02 -2.860262E-02   0.00000       0.00000       0.00000      0.127899      0.259546    
                         0.552890       2.30845       8.80357       10.9852       1.50509       3.34819       4.16506       5.50765    
                          7.58970     -0.533954      -2.05549     -0.465390     -0.129536     -4.699392E-02 -2.298058E-02   0.00000    
                          0.00000       0.00000       0.00000      0.120351      0.270672      0.627963       2.75055       10.6610    
                          13.2022       1.38777       3.17507       3.76263       4.35716       4.43698       2.93122     -4.518567E-02
                        -0.136984     -5.659190E-02 -2.507498E-02   0.00000       0.00000       0.00000       0.00000       0.00000    
                         0.123499      0.308607      0.772982       3.48085       10.0934       10.8707       1.19494       2.68635    
                          3.05164       3.23176       2.92439       1.87829      0.509268      0.135398      3.774399E-02  3.303262E-02
                         3.026379E-02   0.00000       0.00000       0.00000       0.00000      0.151202      0.413616       1.06456    
                          2.35913       8.80202       13.6490       1.00199       2.19725       2.36224       2.56343       2.34486    
                          1.63795      0.850931      0.394216      0.170993      0.101905      4.777593E-02  4.899699E-02  5.556580E-02
                         7.244054E-02  0.115793      0.251329      0.695960       1.65036       3.35854       11.6727       8.54723    
                         0.710363       1.61389       1.79429       2.07650       2.04444       1.69386       1.22373      0.809901    
                         0.465646      0.353283      0.180538      0.197974      0.119825      0.166267      0.279602      0.584047    
                          1.28872       2.65149       4.81018       7.62346       10.5237      0.565190       1.04280       1.41317    
                          1.63086       1.83616       2.00588       1.82013       1.46449       1.14063       1.01614      0.753859    
                         0.673986      0.584880      0.851146      0.709532       1.31355       2.42245       4.22226       6.71506    
                          9.66544       12.5765      0.339888      0.728013      0.970892       1.45265       1.98798       2.57627    
                          2.73184       2.91280       2.88939       2.95092       2.75510       2.52024       2.75626       3.05855    
                          3.24080       2.65000       4.20803       6.32941       8.93908       11.8043       0.00000      0.205126    
                         0.445220      0.727309       1.59081       2.34174       3.57478       4.73615       5.80775       6.79613    
                          7.68725       8.27855       9.03022       9.83466       10.2390       9.17759       9.02776       6.40978    
                          8.68777       11.2192       0.00000       0.00000       0.00000      0.272367      0.603765       1.01192    
                          1.90929       3.06684       4.58843       6.05711       7.39677       9.35908       11.0389       11.5777    
                          11.4915       12.9910       13.7542       12.6136       8.36968       10.6980       0.00000       0.00000    
                          0.00000    

            p002t0000     0.00000      1.991918E-02  8.855722E-02  0.179137      0.337262      0.531065      0.765818       1.15502    
                          1.63966       2.15313       2.77071       3.44127       4.24512       4.76354       4.95880       4.55303    
                          4.08722       2.98826       1.18962       1.40100       0.00000      1.717358E-02  7.345714E-02  0.184604    
                         0.383071      0.642839       1.02661       1.53820       2.22532       3.02674       4.00526       4.98247    
                          6.11768       7.22547       7.96940       8.19954       7.89237       6.95478       4.77002       3.47655    
                          1.38955       1.65389      6.510521E-02  0.191615      0.314861      0.540323      0.883624       1.33914    
                          1.99810       2.69589       3.40520       4.03371       4.63089       5.31258       5.80358       6.14801    
                          6.19721       5.97227       5.88944       5.05497       4.28110       4.01426       1.63794      0.173162    
                         0.407914      0.607708      0.944857       1.46617       2.25442       3.13822       3.82294       4.13863    
                          4.28569       4.38564       4.41310       4.11121       3.78003       3.73451       3.85945       3.90184    
                          4.08537       4.66950       6.20296       4.75107      0.328937      0.808211       1.18228       1.87463    
                          3.06503       4.51159       5.33520       5.45398       5.01897       4.55921       4.03695       3.34186    
                          2.62179       2.08460       1.79901       1.85783       2.28334       3.58707       5.44666       8.95737    
                          7.52162      0.625704       1.58717       2.40471       4.05671       6.58803       8.02811       7.88589    
                          6.38056       5.14302       4.06644       3.01367       2.20435       1.56578       1.13957      0.954481    
                          1.05003       1.54226       2.68283       5.77079       11.9860       11.3827       1.20176       3.07788    
                          4.82194       8.24079       12.1067       10.9882       7.57453       5.02341       3.66202       2.69748    
                          1.92472       1.38691       1.07170      0.806947      0.720194      0.802783       1.18084       2.44869    
                          5.99016       14.4619       16.2377       2.22554       5.69609       9.03752       15.2302       20.5552    
                          10.8765       4.85589       2.77194       1.85956       1.39897       1.10393      0.864618      0.746359    
                         0.663700      0.610666      0.603827       1.01316       2.12666       5.87334       16.9385       19.8376    
                          3.82755       9.73177       15.5990       27.5909       42.5815       5.66599      0.387621      0.397505    
                         0.551865      0.605001      0.565229      0.505699      0.470948      0.462984      0.484665      0.552751    
                         0.938231       2.23836       6.54319       18.3547       22.8080       5.71303       14.3989       24.1338    
                          51.7126       15.2994      -39.2468      -7.44561      -1.18589      2.533651E-02  0.239244      0.284469    
                         0.272835      0.279720      0.312089      0.383840      0.522597      0.909066       2.21255       6.64290    
                          19.8948       26.9542       6.80195       16.2350       21.6538       22.4942      -38.8618      -33.2458    
                         -6.60866     -0.745191      0.131333      0.208184      0.172275      0.165722      0.150544      0.167909    
                         0.248818      0.348539      0.774234       2.04652       7.12303       21.8495       29.9504       7.18137    
                          16.6146       20.1793       17.6710      -14.7239      -31.7465      -3.31885      0.243522      0.364686    
                         0.227450      0.146176      0.100109      8.467465E-02  9.046804E-02  0.140907      0.255799      0.648866    
                          1.93511       6.92534       23.1094       31.1248       6.96105       16.0378       19.3639       21.7159    
                          14.1828     -0.771267      0.698868      0.853214      0.440422      0.223221      0.126393      8.583639E-02
                         5.775786E-02  5.761247E-02  9.199552E-02  0.180526      0.541344       1.88389       7.56401       25.3199    
                          33.0056       6.20844       14.0942       16.0730       17.4286       16.6581       17.3690       2.39484    
                         0.684919      0.325403      0.175525      0.106791      6.172591E-02  4.278562E-02  3.690109E-02  5.870044E-02
                         0.123499      0.462910       1.93246       7.83191       25.2335       32.6121       5.16384       11.4618    
                          12.4840       12.7424       11.2245       7.94663       2.54634      0.834953      0.358568      0.181679    
                         0.105923      6.094729E-02  5.112363E-02  4.368555E-02  6.988930E-02  0.151202      0.620423       2.12912    
                          8.25697       26.4061       30.7103       4.00795       8.78902       9.50266       9.55945       8.51288    
                          6.09680       3.05561       1.41261      0.655473      0.331192      0.191104      0.122492      8.334870E-02
                         7.244054E-02  0.115793      0.251329      0.695960       3.30072       10.0756       26.2635       25.6417    
                          2.84145       6.33140       7.04898       7.46244       7.21943       5.98900       4.11619       2.53094    
                          1.53663      0.927368      0.586747      0.395947      0.299562      0.332534      0.419403      0.584047    
                          1.93308       3.97723       9.62037       22.8704       21.0473       1.76622       4.17121       5.10313    
                          6.03417       6.76041       6.76984       5.95680       4.80026       3.74778       2.87905       2.26158    
                          1.79730       1.60842       1.70229       1.77383       2.62710       4.84489       6.33339       10.0726    
                          19.3309       12.5765      0.934693       2.36604       3.49521       5.18803       6.95792       8.54854    
                          9.43727       9.66520       9.39052       8.85277       8.26530       7.81275       7.57973       8.15614    
                          8.91220       9.27499       10.5201       12.6588       13.4086       11.8043       7.28930      0.307688    
                          1.11305       2.66680       5.17014       8.63516       12.5117       16.3944       19.9123       22.8156    
                          25.1314       26.7172       28.0940       28.8015       29.6932       29.0624       27.0833       22.4342    
                          17.3755       11.2192       6.93498       0.00000       0.00000      0.408551       1.50941       3.54173    
                          6.49157       10.2958       15.0398       19.9885       25.1490       29.9491       34.3431       36.3872    
                          37.9220       35.7251       32.0932       25.2272       20.9242       10.6980       6.58238       0.00000    
                          0.00000    

            p003t0000     0.00000       0.00000      4.427861E-02  7.677299E-02  0.153301      0.265532      0.478636      0.790277    
                          1.17118       1.74301       2.35511       3.25008       3.97980       4.39712       4.46292       4.55303    
                          3.26977       1.99218       1.18962       0.00000       0.00000       0.00000      3.672857E-02  8.204624E-02
                         0.167593      0.321419      0.586637      0.978855       1.58115       2.36233       3.24236       4.47145    
                          5.76810       6.98462       7.96940       8.65507       7.89237       6.95478       4.77002       3.47655    
                          1.38955       0.00000      3.255260E-02  8.709792E-02  0.137752      0.258415      0.441812      0.803481    
                          1.31582       1.97699       2.75314       3.49588       4.28357       5.16079       5.80358       6.41532    
                          6.56175       6.46996       5.88944       5.05497       4.28110       2.67617       1.63794      6.296815E-02
                         0.169964      0.254845      0.436088      0.764957       1.34398       2.14720       2.91581       3.47349    
                          3.94283       4.38564       4.53918       4.41575       4.15804       3.98348       3.85945       3.90184    
                          4.08537       4.66949       6.20296       4.75107      0.125309      0.326724      0.468833      0.792097    
                          1.45776       2.57056       3.66393       4.32068       4.48666       4.55921       4.31860       3.74693    
                          2.94951       2.45247       2.09884       2.06425       2.60954       3.58707       5.44666       10.0770    
                          7.52162      0.240656      0.588501      0.896300       1.58092       2.92317       4.54533       5.60313    
                          5.45893       4.99608       4.53564       3.64812       2.67671       1.95723       1.46516       1.14538    
                          1.18128       1.54226       3.06609       6.41199       12.9849       12.8055      0.417278       1.08192    
                          1.66115       2.89371       4.77197       6.36750       6.14312       5.20071       4.39443       3.51300    
                          2.66977       1.92961       1.42894       1.05524      0.864233      0.903131       1.18084       2.44869    
                          6.53472       16.2696       17.5908      0.771055       1.91807       2.88731       4.59664       6.63844    
                          7.31351       5.97648       4.66610       3.48667       2.51815       1.83989       1.36519       1.07289    
                         0.918969      0.793866      0.776350       1.15790       2.39250       6.85223       18.6323       22.4826    
                          1.34431       3.27101       4.65359       6.78753       8.76890       8.82275       6.39574       4.15573    
                          2.62136       1.71417       1.19696      0.943972      0.796989      0.715520      0.700072      0.710680    
                          1.07226       2.48707       7.01056       20.8576       26.8329       2.25245       5.35568       7.29510    
                          10.1584       13.0727       11.9942       6.71760       3.41649       1.82423       1.10052      0.758584    
                         0.595276      0.531468      0.520149      0.575760      0.671911       1.03893       2.45839       7.59189    
                          23.3548       31.2101       3.60920       8.62718       11.7421       16.8209       21.2942       17.2738    
                          6.49805       2.54241       1.20076      0.693947      0.465142      0.368272      0.344101      0.335819    
                         0.414697      0.557662      0.903273       2.55815       8.14060       25.6494       34.6794       5.70758    
                          13.7064       18.9181       26.6898       32.0484       33.8141       5.95104       1.91339      0.889833    
                         0.495038      0.318929      0.243122      0.203219      0.203553      0.246587      0.383698      0.778639    
                          2.48800       8.65668       27.5112       36.6175       8.68564       20.7588       27.4748       34.3048    
                          25.0690       2.04682       2.83658       1.92361      0.919704      0.469939      0.275767      0.183935    
                         0.129955      0.134429      0.153326      0.240702      0.676680       2.19787       8.93929       29.3178    
                          39.6067       12.0151       28.1497       33.3729       27.8188      -16.4635      -42.6897      -2.77892    
                          1.23285      0.891322      0.476425      0.249178      0.148142      9.983312E-02  9.225271E-02  8.805066E-02
                         0.185248      0.617213       2.31895       9.57233       31.9624       40.7652       14.7660       34.4301    
                          40.7809       33.0563      -47.7793      -40.3111      -6.53561      0.112832      0.622776      0.412908    
                         0.226978      0.137131      8.520606E-02  6.552833E-02  6.988930E-02  0.151202      0.620423       2.66140    
                          10.6161       30.8071       37.5348       15.3805       36.7779       51.3788       83.5250      -11.0616    
                         -50.4579      -9.01213      -1.11694      0.170993      0.254763      0.191104      0.122492      8.334870E-02
                         7.244054E-02  0.115793      0.251329       1.04394       3.30072       11.7549       29.1817       29.9153    
                          12.4314       29.1741       36.9110       46.9809       58.2026       3.69019      -1.22373     -0.151857    
                         0.372517      0.441604      0.361075      0.296961      0.239650      0.249401      0.279602      0.584047    
                          1.93308       5.30298       12.0255       26.6821       21.0473       8.12461       19.2174       24.6520    
                          31.0678       34.8871       17.3843       8.43880       4.96298       3.50336       2.70969       2.16735    
                          1.90963       1.75464       1.70229       2.12859       3.28388       4.84489       8.44452       13.4301    
                          19.3309       12.5765       4.07866       10.7382       16.1168       23.6574       30.0406       27.0509    
                          21.9789       17.7416       14.7359       12.6234       11.2172       10.3330       9.99146       10.1952    
                          10.5326       11.9250       12.6241       12.6588       13.4086       11.8043       7.28930       1.12819    
                          4.78611       11.7582       22.5365       34.3943       41.7599       44.4470       44.5952       43.6894    
                          42.5755       41.7691       41.1377       40.7436       39.9323       38.2400       33.8541       28.8440    
                          21.7194       11.2192       6.93498       0.00000       0.00000       1.49802       6.49047       15.0102    
                          25.5844       35.0496       42.0606       46.9426       50.2980       53.3468       55.1943       55.4077    
                          54.0101       48.7161       41.2627       31.5340       25.1090       16.0471       6.58238       0.00000    
                          0.00000    

            p004t0000     0.00000      3.983835E-02  0.177114      0.409456      0.766505       1.32766       2.05814       2.97874    
                          3.98202       4.92144       5.67996       6.50017       7.16364       7.69496       7.43820       6.50433    
                          4.90466       3.98435       2.37925       0.00000       0.00000      3.434716E-02  0.146914      0.389720    
                         0.837967       1.57788       2.71320       4.24170       5.91467       7.45611       8.86880       9.96494    
                          11.1866       12.2833       12.9503       12.7548       11.5350       9.27304       6.67802       4.63539    
                          2.77910       1.65389      0.130210      0.348392      0.629721       1.19811       2.20906       3.86436    
                          5.99430       7.48860       8.18696       8.42597       8.56714       8.80370       9.00556       9.08837    
                          9.11355       8.46071       7.85259       6.73996       5.35138       4.01426       3.27588      0.283357    
                         0.713850       1.13700       2.03508       3.88853       7.32688       11.1214       11.2097       9.53362    
                          7.88567       6.89171       6.17833       5.48162       5.10305       4.73039       4.91202       5.36504    
                          5.44716       6.53729       8.68415       6.33476      0.501237       1.27250       1.97725       3.69645    
                          7.99898       16.6299       25.3261       16.6453       9.96190       6.41666       4.50636       3.44313    
                          2.73103       2.20722       2.09884       2.27068       2.93573       4.61195       7.00284       12.3164    
                          10.5303      0.818229       2.05084       3.27915       6.65181       15.7938       34.2966       64.6090    
                          14.8171       4.77566       2.26782       1.58614       1.25963       1.09605      0.976770      0.954481    
                          1.05003       1.76258       3.44936       7.69439       15.9814       15.6511       1.21845       3.11519    
                          4.98344       9.93927       22.1808       47.5027      -2.74353      -29.9041      -9.15506      -3.07387    
                        -0.745052      0.120601      0.416773      0.496583      0.576155      0.702435       1.34953       3.06087    
                          7.62384       18.9812       20.2971       1.73487       4.30113       6.38495       10.4803       14.9165    
                          7.03222      -39.7342      -23.2843      -10.1811      -4.05702      -1.42591     -0.364050      4.664746E-02
                         0.255269      0.366400      0.517566       1.01316       2.65833       7.83112       21.1731       25.1277    
                          2.31520       5.50587       7.38401       10.0491       10.1041     -8.094268E-02  -17.0166      -12.8647    
                         -6.48441      -2.85695      -1.16371     -0.438273     -0.108680      8.417882E-02  0.215407      0.394822    
                         0.938231       2.48707       7.94530       23.3605       29.5162       2.88723       6.65070       8.31941    
                          9.95044       8.40390      -2.39125      -9.92749      -6.91769      -3.44577      -1.55509     -0.711173    
                        -0.322441     -0.139860       0.00000      9.596008E-02  0.298627      0.779200       2.45839       8.06638    
                          25.0847       32.6287       3.35471       7.73215       9.57385       11.5125       8.97397      -4.32724    
                         -7.07873      -3.85746      -1.70733     -0.745993     -0.361777     -0.184136     -0.107532     -2.798489E-02
                         4.146974E-02  0.209123      0.645195       2.30233       8.14060       26.5994       36.2557       3.80505    
                          8.84002       11.4802       14.9214       13.0029      -8.52511      -6.66059      -2.50480     -0.904421    
                        -0.361244     -0.159464     -8.580784E-02 -5.080479E-02 -2.261701E-02  3.522668E-02  0.127899      0.519093    
                          2.21156       8.07956       27.5112       36.6175       4.07629       9.67627       12.8971       19.0801    
                          29.4005      -2.22481      -8.81807      -2.04771     -0.595865     -0.199724     -8.043203E-02 -3.678703E-02
                        -1.443947E-02   0.00000      3.066517E-02  0.120351      0.406008       1.88389       8.25165       29.3178    
                          37.4064       4.05374       9.40904       11.6969       14.4540       14.8289       8.73128     -0.655192    
                        -0.650673     -0.297107     -0.112837     -3.559684E-02 -1.234518E-02   0.00000       0.00000      2.935022E-02
                         6.174929E-02  0.462910       1.93246       8.70212       30.2802       38.0475       3.67016       8.32769    
                          9.61727       10.5725       9.67628       5.95997       1.52781      0.293362      3.774399E-02  1.651631E-02
                         1.513189E-02  1.523682E-02  1.704121E-02  2.184278E-02  3.494465E-02  7.560108E-02  0.413616       2.12912    
                          9.43654       28.6066       34.1226       3.05606       6.80103       7.62360       8.11752       7.54435    
                          5.45982       2.74619       1.24835      0.569976      0.280239      0.167216      9.799399E-02  8.334870E-02
                         7.244054E-02  5.789634E-02  0.125664      0.695960       3.30072       10.0756       26.2635       29.9153    
                          2.24948       5.08995       5.83143       6.48907       6.51665       5.62603       4.00494       2.58156    
                          1.58320       1.01569      0.677016      0.445441      0.359475      0.332534      0.419403      0.584047    
                          1.93308       3.97723       12.0255       22.8704       21.0473       1.48362       3.42635       4.31803    
                          5.30029       6.09271       6.35195       5.87407       4.88162       3.91072       3.04841       2.45004    
                          2.02196       1.75464       1.70229       2.12859       2.62710       4.84489       6.33339       10.0726    
                          19.3309       12.5765      0.764749       2.00204       3.00977       4.56547       6.29526       7.96302    
                          9.18892       9.66520       9.53499       9.18065       8.85568       8.56882       8.26879       8.66590    
                          9.72240       10.6000       10.5201       12.6588       13.4086       11.8043       7.28930      0.205126    
                         0.890439       2.30314       4.50730       7.75701       11.5368       15.6657       19.4975       23.0583    
                          25.7227       28.2223       29.5991       30.9089       31.7410       30.5920       29.3402       25.6391    
                          17.3755       11.2192       6.93498       0.00000       0.00000      0.272367       1.35847       3.03577    
                          5.91879       9.63864       14.2751       19.6856       25.1490       30.8850       35.5696       38.8681    
                          40.2203       38.9729       34.3856       28.3806       20.9242       16.0471       6.58238       0.00000    
                          0.00000    

            p005t0000     0.00000      1.991917E-02  6.641791E-02  0.153546      0.275942      0.493132      0.813681       1.33739    
                          2.03005       2.97337       4.01754       5.35308       6.63300       7.69496       7.93408       7.80519    
                          6.53955       4.98044       2.37925       1.40100       0.00000      1.717358E-02  5.509286E-02  0.143581    
                         0.287303      0.555179      0.953285       1.63142       2.63525       3.91261       5.53108       7.40982    
                          9.61349       11.8016       13.6144       14.5770       13.9634       11.5913       8.58603       5.79424    
                          2.77910       1.65389      4.882890E-02  0.139357      0.236146      0.422861      0.736353       1.30087    
                          2.19304       3.29498       4.56441       5.82647       7.29365       8.65191       9.80605       10.6922    
                          10.9363       10.9492       9.81574       8.42495       6.42165       6.69043       3.27588      0.110194    
                         0.271943      0.431277      0.702586       1.24306       2.21107       3.57867       4.85968       5.91233    
                          6.59996       7.30939       7.69139       7.46109       6.99306       6.72213       7.01717       6.82823    
                          7.48984       8.40509       11.1653       7.91845      0.203628      0.515879      0.774594       1.29376    
                          2.39222       4.30175       6.10655       7.22475       7.52846       7.59868       7.22896       6.17738    
                          5.02509       4.04658       3.44810       3.30280       4.24050       6.14927       10.1152       16.7951    
                          13.5389      0.369005      0.927335       1.42096       2.53544       4.75560       7.49684       9.33856    
                          9.14547       8.44924       7.58547       6.10664       4.56615       3.28814       2.44193       2.00441    
                          1.96880       2.86419       4.98240       10.2592       21.9744       21.3425      0.650953       1.66019    
                          2.58401       4.56074       7.77655       10.5937       10.3181       8.80575       7.50715       6.02228    
                          4.47031       3.25621       2.38156       1.80011       1.51241       1.50522       2.19299       4.28521    
                          10.8912       27.1160       29.7691       1.15658       2.88679       4.38965       7.23204       10.7975    
                          12.3298       10.3188       8.03863       6.04356       4.33681       3.08181       2.32082       1.81925    
                          1.53162       1.34347       1.38018       1.88159       4.25333       11.2572       31.3362       37.0302    
                          1.94178       4.75414       6.88541       10.5192       14.3262       15.0958       11.2798       7.37191    
                          4.62187       2.99139       2.06142       1.58452       1.34039       1.22059       1.18474       1.26343    
                          1.87646       3.97931       12.1516       35.0407       44.2743       3.07152       7.39698       10.4180    
                          15.3266       21.2252       20.8000       12.4094       6.35298       3.34442       1.96180       1.32752    
                          1.04173      0.923076      0.901591      0.959601       1.11985       1.81813       4.17926       12.8113    
                          38.9246       51.0711       4.55777       11.0140       15.7405       24.4517       33.9946       29.7981    
                          13.2726       5.17250       2.36399       1.30115      0.844147      0.644475      0.580670      0.587683    
                         0.663516      0.906201       1.67751       4.09303       13.2285       42.7491       58.3244       6.43108    
                          15.7796       23.4779       38.0917       52.8531       52.4867       13.9850       4.62691       2.10059    
                          1.07035      0.624568      0.429039      0.355634      0.339255      0.422720      0.703447       1.42751    
                          4.14667       14.4278       46.2187       62.2497       8.37208       20.6248       30.9457       53.8570    
                          100.276      -4.83525      -21.4799       7.44623       3.03114       1.23359      0.586005      0.343346    
                         0.245471      0.211246      0.275987      0.481404       1.21802       4.08176       15.1280       49.3072    
                          66.0112       9.49525       22.8837       31.2053       44.3676       52.0373      -28.6885      -1.37816    
                          14.8627       3.90484       1.32897      0.557684      0.296284      0.185404      0.147604      0.176101    
                         0.308746       1.08012       4.25140       15.6638       52.1492       65.2243       9.38879       21.8042    
                          26.8174       32.1330       32.2113       25.4292       26.4537       5.68671       2.20802      0.974462    
                         0.453957      0.243789      0.153371      0.131057      0.139779      0.302404       1.03404       4.25825    
                          17.6935       52.8121       61.4206       8.16620       18.4674       21.5286       23.9787       23.8564    
                          20.2468       14.4271       5.05910       2.02342      0.942624      0.477759      0.269483      0.194480    
                         0.144881      0.173689      0.376993       1.73990       5.77627       18.4720       49.6089       51.2834    
                          6.21568       14.1525       16.4690       18.6885       19.4222       17.6040       13.0717       7.08664    
                          3.63204       1.98722       1.17349      0.791895      0.599125      0.581935      0.699005       1.46012    
                          3.22181       9.28021       21.6458       45.7408       42.0946       4.09763       9.53420       12.0120    
                          15.0039       17.4435       18.1365       16.2985       12.3668       8.79913       6.26617       4.71162    
                          3.70692       3.21684       3.19180       3.90242       5.25420       8.47856       12.6668       20.1452    
                          33.8290       25.1530       2.12430       5.55110       8.34967       12.6588       17.5605       21.8983    
                          24.3382       24.0968       22.3928       20.1646       18.3017       16.8856       16.1931       16.3123    
                          17.8244       19.8750       21.0402       22.1529       22.3477       23.6085       14.5786      0.615377    
                          2.56001       6.30334       12.5939       21.2220       31.1981       40.9859       48.7436       54.6118    
                          58.2457       60.5840       62.2082       63.2228       62.4581       61.1840       54.1665       48.0734    
                          34.7511       22.4383       13.8700       8.25735       0.00000      0.817101       3.62259       8.60134    
                          16.0380       25.8491       37.2173       49.0626       60.2836       70.1931       77.8853       81.8711    
                          82.7388       77.9457       66.4787       53.6079       37.6635       26.7451       13.1648       7.83853    
                          0.00000    

            p006t0000     0.00000      1.991917E-02  0.132836      0.332683      0.705185       1.47939       2.91968       5.71431    
                          10.0722       15.3795       18.7023       20.0741       19.8990       18.6877       16.3640       13.0087    
                          9.80932       5.97653       3.56887       1.40100       0.00000      1.717358E-02  9.182143E-02  0.287162    
                         0.646432       1.43178       2.96985       6.10619       11.7122       20.4489       30.8024       34.2385    
